Question,Bloom's Taxonomy Level,BT1 (Remembering),BT2 (Understanding),BT3 (Applying),BT4 (Analyzing),BT5 (Evaluating),BT6 (Creating),Difficulty_Score
What are the benefits of object-oriented development over structure development'?,BT4 (Analyzing),0.078084275,0.1017862,0.0037521962,0.79509187,0.019117396,0.0021679937,0.55
How does the inception phase contribute to the overall success of a software development project?,BT5 (Evaluating),0.0056418995,0.041700557,0.14013854,0.16485672,0.5862601,0.061402205,0.55
"Difference between the ""extend"" and ""include"" relationships in use case diagrams.",BT4 (Analyzing),0.045590054,0.06789986,0.004585253,0.8782106,0.0023319703,0.0013822406,0.55
Write the key differences between composition and aggregation in object-oriented design,BT2 (Understanding),0.4521085,0.46804935,0.022642266,0.05407935,0.0018322582,0.0012882814,0.85
"Given a scenario involving dynamic interactions between objects, demonstrate how a sequence diagram would be more suitable than a collaboration diagram.",BT3 (Applying),0.001617188,0.0017098088,0.98222363,0.0069491803,0.004407492,0.0030927674,0.85
How the parallel activities are represented in an activity diagram?,BT4 (Analyzing),0.056724437,0.026224248,0.25440997,0.65813124,0.0030701626,0.0014400118,0.55
State the principles of model-view separation in software design.,BT1 (Remembering),0.6124123,0.35154542,0.012703798,0.020178428,0.0014306586,0.001729343,0.3
Why design patterns are used in software development?,BT2 (Understanding),0.29982993,0.3229571,0.04911109,0.28955612,0.030487077,0.008058694,0.85
Name the object-oriented methodologies used in software development.,BT1 (Remembering),0.97417337,0.016480712,0.004244264,0.0027665193,0.0010812283,0.0012539753,0.3
Is software testing a crucial phase in the software development life cycle? Justify your answer.,BT5 (Evaluating),0.0019263035,0.003685605,0.0040421127,0.005198835,0.981475,0.0036720939,0.55
"Draw the use case diagram and use case text for the following Scenario 1:  A hotel wants to develop a system to manage their take-away service. The system should maintain the menu of the day. From the customer end, the system should be able to assign tokens for the registered orders and display the bill amount. The order should be confirmed after receiving the payment and send a notification to the customer and the hotel manager. Appending the order should be disabled after payment. From the hotel manager's end, order-wise and item-wise lists should be displayed. Orders with 3 or less than 3 items can be given higher priority. The availability of a food item should be updated to the manager and the customer (during ordering). When the order is ready, a notification should be sent to the customer for collecting their order.",BT3 (Applying),0.005679235,0.088878915,0.83291,0.04970535,0.019379666,0.003446876,0.3
Consider a library management system where users can borrow and return books. Identify and define the conceptual classes involved in this system. Provide a detailed explanation of the attributes and behaviors associated with each class. Discuss how these classes contribute to the overall design and functionality of the library management system. ,BT2 (Understanding),0.0038708656,0.82759833,0.1120324,0.014519402,0.006018311,0.035960715,0.3
"Consider a system designed to manage different types of vehicles. Initially, the system is designed to handle only cars. Through the process of extension refinement, the system is extended to  accommodate other types of vehicles, such as motorcycles and bicycles. (i) . Identify the base class and the extended classes in this scenario. (ii) Explain the concept of extension refinement and how it is applied to incorporate new types of vehicles into the system. Provide specific examples of attributes or behaviors that may be added or modified during the refinement process. (iii) Discuss the advantages and potential challenges of using extension refinement in this context. ",BT2 (Understanding),0.002054538,0.9380379,0.021635981,0.0070065022,0.012554368,0.018710807,0.85
"Create an activity diagram with swimlanes for a simplified online order processing system. The system involves the activities of a Customer, Order Processing Team, and Inventory Team. Explain the key activities within each swimlane, detailing the tasks performed by the Customer, Order Processing Team, and Inventory Team. Also, identify decision points in the process and explain how the flow of activities is determined based on certain conditions.",BT2 (Understanding),0.0026457638,0.8864401,0.03318022,0.062270492,0.0068489434,0.0086143445,0.55
" Consider a vending machine that dispenses beverages. Design a state diagram to model the behavior of the vending machine when a customer interacts with it. Identify and explain the key states in the state diagram, such as ""Idle,"" ""Selection,"" ""Payment,"" ""Dispensing,"" and any other relevant states. Explain the transitions between states, detailing the events or conditions that trigger each transition. Consider events like coin insertion, product selection, and dispensing completion.",BT2 (Understanding),0.004365104,0.55281216,0.18616034,0.03943631,0.017245013,0.1999811,0.3
Discuss and illustrate the guidelines for organizing packages in an object-oriented system. Use a practical scenario of a library management system to demonstrate the application of these guidelines.,BT3 (Applying),0.006245196,0.25853595,0.7130368,0.011599789,0.0044876495,0.00609465,0.55
Differentiate between component and deployment diagram. Provide an illustrative example using a simplified e-commerce system to demonstrate the application of both concepts.,BT2 (Understanding),0.02570284,0.64809686,0.006043664,0.3164046,0.0017294659,0.0020225367,0.55
"Apply the GRASP design principles of Low Coupling, High Cohesion, and Polymorphism to design a simplified library management system. Explain the application of each principle, providing a clear rationale and impact on the overall system design.",BT3 (Applying),0.0017158764,0.072700664,0.8933849,0.005682058,0.00862947,0.017887013,0.85
"Design a simplified online shopping system and apply three different GoF creational design patterns. Provide a detailed explanation of each pattern's application, including its intent, participants, collaborations, and real-world scenarios where the pattern is beneficial.",BT6 (Creating),0.0010447339,0.004789348,0.02242526,0.002065428,0.008284862,0.9613904,0.85
"Given a class diagram for a simplified e-commerce system, map the design elements to corresponding code segments in a programming language of your choice. Explain the mapping process and discuss the considerations for translating design concepts into executable code. Discuss and elaborate on various software quality assurance activities within the software development life cycle.",BT2 (Understanding),0.0022510784,0.9660891,0.0073258355,0.021036124,0.0022058107,0.0010919769,0.85
"Design a class diagram for a simplified university registration system. Explain the concepts and 2 principles that guide the design of class diagram. Discuss key terms such as classes, associations, attributes, and multiplicity. Elaborate on how these elements contribute to modeling the structure of a system.",BT6 (Creating),0.0041437573,0.30136526,0.04835727,0.030597948,0.025919754,0.589616,0.85
"Apply the GRASP design patterns to design a simplified library management system. Explain the rationale behind Information Expert, Creator and Controller pattern, and its impact on the overall system design. Illustrate how each pattern is used to assign responsibilities to classes.",BT3 (Applying),0.0018727536,0.038174797,0.9446976,0.0066287806,0.003073216,0.00555282,0.85
What are the challenges and risks in cloud based solutions? Discuss the importance of service contracts in Service-Oriented Architecture (SOA) and how they contribute to the success of SOA implementations.,BT2 (Understanding),0.17837782,0.5909585,0.0041347877,0.21336073,0.01158478,0.0015833732,0.55
What is a Hypervisor in Cloud Computing and its types?,BT1 (Remembering),0.98591995,0.0062383343,0.0030948392,0.0030570535,0.00084232015,0.00084748666,0.3
List out the key highlights of Open Stack.,BT1 (Remembering),0.9081985,0.053062122,0.01907617,0.016276505,0.0015595682,0.0018270919,0.3
Differentiate the Physical and Cyber Security Protection at Cloud/Data Centers.,BT4 (Analyzing),0.044009026,0.092715554,0.0035621654,0.85572314,0.0018487083,0.002141314,0.55
How data is secured in Cloud? Give an example.,BT1 (Remembering),0.6693995,0.09595904,0.06941378,0.15914127,0.0035486142,0.0025377437,0.55
Define the functions of Map and Reduce.,BT1 (Remembering),0.70539665,0.12442797,0.09625454,0.070036255,0.0021605762,0.0017240373,0.3
State the difference between SLO and SLA.,BT2 (Understanding),0.31595013,0.55724025,0.015901016,0.10695837,0.0028229356,0.0011272337,0.3
Write a short note on cloud security defense strategies. Why there is need for Edge Computing?,BT2 (Understanding),0.4093938,0.54101616,0.009064571,0.036618173,0.0025547969,0.0013525261,0.55
Describe the various layers and type of Cloud Computing.,BT1 (Remembering),0.79422593,0.15737133,0.010391191,0.03435019,0.0019242496,0.0017370549,0.55
Describe the SOAP messages exchanged during a hypothetical web service method invocation. Provide the XML format and highlight the operations associated with each message. Elaborate the various levels of virtualization ranging from hardware to application in five abstraction levels.,BT2 (Understanding),0.0062850574,0.9641975,0.008161511,0.019243235,0.0013910666,0.00072161946,0.55
Draw and Explain the Cloud architecture design in OpenNebula.,BT1 (Remembering),0.428765,0.403832,0.04364123,0.11836769,0.0030523336,0.002341791,0.85
Explain the Live VM Migration steps in detail with relevant diagrams wherever necessary.,BT1 (Remembering),0.42312324,0.2126361,0.036727775,0.32263505,0.0028254387,0.0020523148,0.55
Explain why CDMI and OCCI interoperating in an integrated cloud system,BT2 (Understanding),0.050481316,0.87234706,0.012426074,0.06092332,0.0022396503,0.0015825619,0.55
"Explain the data processing actions of map and reduce tasks in the context of the MapReduce programming model. Provide clear steps on how each mapper processes and prepares intermediate data for use by reducers. Also, describe the role of reducers in consolidating and finalizing the results.",BT2 (Understanding),0.003227378,0.9389882,0.0047195116,0.049311504,0.0028526664,0.00090061134,0.55
"Provide a comprehensive explanation of Service Level Agreement (SLA) in the context of cloud computing. Cover the various types of SLAS, their life cycle, and the management aspects associated with SLAS in the cloud environment.",BT2 (Understanding),0.01044927,0.9583579,0.0043253438,0.024238316,0.0020057834,0.0006233037,0.55
Write in detail the performance metrics in HPC systems.,BT1 (Remembering),0.66925347,0.21661967,0.029356979,0.080805466,0.0021804136,0.0017840223,0.55
Write a short about the QoS in Cloud Computing.,BT1 (Remembering),0.6767812,0.26798698,0.017645465,0.028088672,0.0025918905,0.0069057746,0.55
Elaborate the key features and benefits of Amazon Web Services (AWS) as an Infrastructure as a Service (IaaS) provider.,BT2 (Understanding),0.0052267388,0.98084956,0.0024133106,0.00769519,0.0029253045,0.00088989513,0.55
"In a real-time cloud computing environment, describe how Docker containers contribute to the efficient deployment and scalability of applications. Include key concepts such as container orchestration, image management, and the advantages of using Docker in a cloud-native architecture. Additionally, discuss any challenges and best practices associated with deploying Dockerized applications in a cloud setting.",BT2 (Understanding),0.002174405,0.9816405,0.0027187618,0.0072717015,0.0047420342,0.0014525717,0.55
What are federated clouds? With neat diagram explain the cloud federation stack.,BT1 (Remembering),0.96103,0.02379864,0.0049694376,0.008864495,0.0007044264,0.00063294015,0.55
Discuss why Automated Policy-Based Management and Cloud Management Standards are Important and give proper justification.,BT2 (Understanding),0.0032736326,0.83565414,0.009373648,0.017952232,0.1268407,0.0069057015,0.55
How is a viewing coordinate system setup in 3D?,BT3 (Applying),0.15175329,0.01465998,0.72504175,0.10277911,0.003965349,0.0018005852,0.55
Present the A* path finding algorithm.,BT1 (Remembering),0.90444696,0.050274376,0.029626055,0.0127849355,0.0015856334,0.0012820349,0.55
What is 'Scan Conversion'?,BT1 (Remembering),0.9862109,0.0059584696,0.0034278508,0.0026431158,0.00081847084,0.00094124506,0.3
How is a texture applied to a 3D model?,BT3 (Applying),0.0345772,0.00853827,0.8912933,0.06049793,0.0030966324,0.001996623,0.55
Present the structure of a Dialogue Tree.,BT2 (Understanding),0.014108377,0.9556886,0.006064923,0.008126335,0.012203914,0.003807932,0.55
What constitutes 'Game Play Mode'?,BT1 (Remembering),0.976225,0.013705063,0.0023634199,0.0046426146,0.0016217466,0.0014419698,0.55
Identify the Dimensions of the Game Worids.,BT1 (Remembering),0.9575206,0.028347794,0.0062732967,0.005144199,0.0010750093,0.0016390996,0.55
Compare Games of Emergence and Games of Progression.,BT4 (Analyzing),0.011135625,0.063907735,0.0022231978,0.9181859,0.0033316594,0.0012159306,0.85
How is rendering a Transparent Cube different from that of the typical opaque cube?,BT4 (Analyzing),0.01243052,0.009451799,0.023761934,0.95125175,0.0018601661,0.001243748,0.55
What is Particle System animation?,BT1 (Remembering),0.9883299,0.004132004,0.0031860804,0.0017606699,0.0011557495,0.0014355608,0.3
Derive the Perspective Projection Transformation matrix and analyze the perspective effects of the matrix on any projection,BT3 (Applying),0.005618579,0.01435824,0.49865702,0.47088593,0.0026792614,0.0078009474,0.85
Write about the basic lighting and illumination models.,BT1 (Remembering),0.7595278,0.20042835,0.009111727,0.027129492,0.0022938836,0.0015086362,0.55
How would you relate Skin and Bones and Inverse Kinematics animation techniques? Discuss,BT6 (Creating),0.018764,0.34462276,0.023082623,0.021750405,0.007817092,0.5839631,0.55
Write about the general types of challenges that most games offer.,BT2 (Understanding),0.014892529,0.93812054,0.0026604957,0.008901535,0.03279526,0.0026296629,0.55
What do you understand by Continuous Level of Detail? Summarize the steps of any popular algorithm for CLOD.,BT1 (Remembering),0.8117431,0.15478252,0.0035726386,0.022976235,0.0055258037,0.0013997253,0.55
What is a balanced game? Summarize the different ideas and techniques used to ensure balance in a game.,BT5 (Evaluating),0.18639936,0.09547067,0.009687046,0.061908584,0.6355405,0.010993933,0.3
What types of Core Mechanics are used in Games? Present an example for one of those mechanics.,BT1 (Remembering),0.49087742,0.1985904,0.021195227,0.019313296,0.030724505,0.23929915,0.55
How is collision detected between two objects? Present any simple algorithm for detecting collision between two convex polyhedra.,BT2 (Understanding),0.090579584,0.7983505,0.044580847,0.03435953,0.02511214,0.0070173717,0.55
What is the need for clipping in CG applications? Present any simple clipping algorithm for clipping the shape shown against a standard clip rectanqle.,BT1 (Remembering),0.9507388,0.033109903,0.005816917,0.0075178966,0.0018594733,0.0009569654,0.3
Illustrate the rendering pipeline and Present the Ray Tracing technique.,BT3 (Applying),0.03329325,0.24834965,0.6978299,0.01554069,0.0024656917,0.0025207757,0.55
Identify the context of usage of the following modeling techniques Mesh Modeling and spline based Modeling,BT1 (Remembering),0.7054576,0.23295864,0.027670275,0.030671053,0.0014441013,0.001798235,0.55
Present the core features of a typical Game Engine and dsscribs the process of developing any simple game in 3D,BT2 (Understanding),0.065573364,0.88008124,0.033756256,0.0137299625,0.0031886408,0.0036705004,0.55
"How are back-faces detected? Identify the back faces for a standard unit cube at origin as shown, when viewing direction is along the diagonal connecting tlie vertex (1,1,1) and (0,0,0).",BT4 (Analyzing),0.07665707,0.017898154,0.44701925,0.45139295,0.005494361,0.0015382012,0.55
Give example statements for Pragmatic Ambiguity.,BT2 (Understanding),0.034420863,0.7639288,0.04837821,0.14139245,0.011049834,0.0008299203,0.3
What are the applications of Earley Algorithm?,BT1 (Remembering),0.93755645,0.031910837,0.008311027,0.020371031,0.0010400868,0.00081064453,0.55
"Define: Term Frequency, Inverse Document Frequency",BT1 (Remembering),0.86086184,0.07267605,0.044093948,0.019723052,0.0013845748,0.0012605675,0.3
Identify the Morphological Type: 1. Important to Bill 2. Looked Up the Tree,BT1 (Remembering),0.83218944,0.11954854,0.018379552,0.02124738,0.006380413,0.002254642,0.55
Distinguish: Anaphora & Cataphora,BT4 (Analyzing),0.42330006,0.053542193,0.0039167297,0.5108469,0.0053856242,0.0030084744,0.55
Draw the block diagram for N-gram Topic Modelling,BT1 (Remembering),0.5784248,0.21371512,0.15936129,0.043980815,0.0022293553,0.002288573,0.55
What are the challenges in handling Word Sense Disambiguation during Machine Translation?,BT1 (Remembering),0.90474635,0.03364162,0.0047024586,0.05373587,0.0023880736,0.00078565965,0.55
What is LSI?,BT1 (Remembering),0.98844445,0.003287365,0.003831082,0.0019973277,0.0013809887,0.0010587241,0.3
Why is Independence assumption followed in Naive Bayes?,BT4 (Analyzing),0.036352005,0.024200445,0.013388868,0.9176161,0.006893261,0.0015492304,0.55
How is Bag-of-words model useful in Machine Translation?,BT3 (Applying),0.33670208,0.027201932,0.47582418,0.1494278,0.0050880117,0.00575596,0.55
Explain Dependency Parsing with 2 examples of your choice,BT1 (Remembering),0.55259866,0.29162446,0.02944744,0.119156964,0.0053058225,0.0018666122,0.55
Discuss various POS tags in English. Provide an example text and tag the POS within the text using POS markers.,BT2 (Understanding),0.06284139,0.8524756,0.036858954,0.04508356,0.0017895753,0.00095101015,0.55
"Explain Lexicon, Lexeme and the different types of relations that hold between lexemes.",BT2 (Understanding),0.2212783,0.5607943,0.013092069,0.19957395,0.0035709692,0.0016904202,0.55
"Is ABSTRACT a summary of research paper? Explain with block diagram on arriving at a better summarisation system, if any",BT1 (Remembering),0.63526803,0.04784278,0.0117930295,0.27887997,0.022962386,0.0032538734,0.55
Discuss ways of using word embedding using pre-trained Language Model? Justify.,BT5 (Evaluating),0.01612033,0.014867919,0.01440449,0.055564784,0.89192754,0.007114885,0.55
Discuss the processes involved in creating a Recommender System for Re-targeted Ads Generation in Social Media. Please depict using a block diagram and support with an explanation.,BT2 (Understanding),0.00501375,0.8465756,0.010704776,0.011026028,0.1168696,0.009810184,0.55
"Draw ambiguous parse trees for ""1 saw a man with a telescope"" and ""1 saw a man with a telescope on the boat"". Explain the ambiguity.",BT2 (Understanding),0.017879175,0.6187092,0.20716263,0.15118805,0.003821114,0.001239776,0.55
Discuss with block diagram how Language Models are used in developing a Mobile App for Dyslexia Children.,BT2 (Understanding),0.015158002,0.89646935,0.062317632,0.021772573,0.0016517513,0.0026307947,0.55
Explain and Show examples for distinguishing Information Extraction vs. Information Retrieval.,BT4 (Analyzing),0.0077273576,0.06276746,0.0057983794,0.921311,0.0014397304,0.0009559861,0.55
How do you apply Machine Translation techniques to dynamically translate the Quora results? Explain with block diagram,BT3 (Applying),0.005538794,0.0032250672,0.9836374,0.004271772,0.0016328911,0.0016941314,0.55
State & Explain any 3 different evaluation metrics available for Text Classification.,BT1 (Remembering),0.961164,0.021422531,0.0059522553,0.008904794,0.0017479783,0.00080835714,0.3
Explain Vector Space Model with neat illustrated example.,BT1 (Remembering),0.5689823,0.26369435,0.05575042,0.106151834,0.0025675714,0.0028535808,0.55
Compare and Contrast word embedding models through 1 sample example paragraph.,BT4 (Analyzing),0.00648494,0.036787905,0.08946558,0.8638395,0.0017757616,0.0016463395,0.85
Give a sample paragraph and explain the process for obtaining N-grams from the text.,BT2 (Understanding),0.17339897,0.6149999,0.09228936,0.11500716,0.0027341708,0.0015704233,0.55
"A 30 bytes long message is sent from one device to another, which is 1S m apart, through a link with bandwidth 10 bps. If the data travels through the link at a speed of 3 m/s, calculate the transmission delay and propagation delay.",BT3 (Applying),0.0074546807,0.0029823089,0.9770971,0.007921218,0.0032770706,0.0012675754,0.55
"How long does it take a packet of length 1000 bytes to propagate over a link of distance 2500km, propagation speed 2.5x108m/s, and transmission rate 2 Mbps?",BT3 (Applying),0.031070255,0.006194574,0.92697966,0.030840913,0.0029611592,0.0019534067,0.55
A subnet has been assigned a subnet mask of 255.255.255.192. What is the maximum number of hosts that can belong to this subnet?,BT3 (Applying),0.17464377,0.013681672,0.75280744,0.049044754,0.008314422,0.0015079383,0.3
What is the relationship between sequence number and window size in Selective Repeat Mechanism?,BT4 (Analyzing),0.061458662,0.019682148,0.007138507,0.9088114,0.001959088,0.00095021556,0.3
"In what scenarios is UDP preferred over TCP , and vice versa?",BT4 (Analyzing),0.0074764756,0.009837262,0.006654689,0.9686714,0.0066742264,0.0006858981,0.55
How does DHCP help in minimizing manual IP address configuration errors?,BT3 (Applying),0.047691736,0.05029735,0.59818023,0.17962144,0.040814538,0.083394736,0.55
Name three error-detection strategies employed by link layer,BT1 (Remembering),0.9343003,0.05178788,0.0051605967,0.0063314727,0.0010908685,0.0013289176,0.3
"Determine the maximum length of the cable (in km) for transmitting data at a rate of 500 Mbps in an Ethernet LAN with frames of size 10,000 bits. Assume the signal speed in the cable to be 2,00,000 km/s.",BT3 (Applying),0.009685311,0.003981545,0.9637542,0.01813462,0.0031755622,0.0012687781,0.55
How are signal strength and transmission distance related to each other?,BT4 (Analyzing),0.008365365,0.010611145,0.024728596,0.95392483,0.0011219954,0.00124808,0.55
"Discuss in detail the different types of connections that are possible in the application layer protocol used by Google Chrome. Will the working of the protocol differ when a different browser, like Mozilla Firefox or Internet Explorer, is used? Justify your answer",BT5 (Evaluating),0.008813266,0.07800993,0.019428851,0.109095074,0.77760553,0.0070474157,0.55
"TCP congestion control decreases its transmission rate in the face of increasing congestion (loss), while UDP sources need not, and it is possible for UDP sources to crowd out TC P traffic. Does it mean that TC P is fairer than UDP? Justify it",BT5 (Evaluating),0.002277945,0.004767131,0.0035988505,0.008175294,0.97813934,0.0030414816,0.55
"Design and describe an application-level protocol to be used between an automatic teller machine and a bank's centralized computer. Your protocol should allow a user's card and password to be verified, the account balance (which is maintained at the centralized computer) to be queried, and an account withdrawal to be made (that is, money disbursed to the user). Your protocol entities should be able to handle the all-toocommon case in which there is not enough money in the account to cover the withdrawal. Specify your protocol by listing the messages exchanged and the action taken by the automatic teller machine or the bank's centralized computer on transmission and receipt of messages. Sketch the operation of your protocol for the case of a simple withdrawal with no errors, using a sequence diagram. Explicitly state the assumptions made by your protocol about the underiying end-to-end transport service.",BT3 (Applying),0.003428565,0.05184517,0.6890704,0.011737982,0.01180176,0.2321161,0.3
Consider distributing a file of F bits to N peers using a ClientServer and P2P architecture. Analyze and specify the distribution time for both the architecture,BT4 (Analyzing),0.020855738,0.011654949,0.46743762,0.49380904,0.0044614524,0.001781188,0.85
A circuit in link is implemented with either frequency-division multiplexing (FDM) or time-division multiplexing (TDM). What is the difference between FDM and TDM links?,BT4 (Analyzing),0.12055878,0.02752984,0.008029755,0.8402762,0.0022782006,0.0013273017,0.3
How to achieve reliable data transfer over a channel that can corrupt or lose packets.? Illustrate with the receiver side Finite State Machine,BT4 (Analyzing),0.31013557,0.11787258,0.14045447,0.4205305,0.009677983,0.0013289236,0.3
"Suppose that the links and routers in the network never fail and that routing paths used between all source/destination pairs remains constant. In this scenario, does a virtual circuit or datagram architecture have more control traffic overhead? Why? Explain in detail",BT4 (Analyzing),0.009834678,0.032088988,0.107020944,0.8475707,0.0019908664,0.0014937778,0.55
"TCP congestion control is often referred to as an additiveincrease, multiplicative-decrease form of congestion. Justify",BT5 (Evaluating),0.0020594068,0.0029438827,0.003455152,0.0049713138,0.9829642,0.003606026,0.55
"Why are policy considerations as important for intra-AS protocols, such as OSPF and RIP, as they are for an interAutonomous System routing protocol like BGP ?",BT4 (Analyzing),0.012085103,0.12150469,0.022549458,0.69402826,0.14338662,0.0064458624,0.55
Detail and Discuss CSMA/CD algorithm and derive the efficiency for the same.,BT4 (Analyzing),0.029261723,0.040011704,0.08934482,0.8368337,0.0019209087,0.00262709,0.55
"Compare and discuss at least with four performance metrics of the following wireless technologies with simple diagrams: Ad hoc Networks, Wireless LAN, Cellular Technologies, and LTE/5G.",BT4 (Analyzing),0.0026728492,0.14901261,0.017146789,0.8261979,0.003242248,0.0017276644,0.85
Sketch the IPv4 datagram format and highlight their functionalities,BT3 (Applying),0.018770935,0.05887724,0.90093076,0.016464293,0.0021827053,0.0027741345,0.55
When NAT traversal problem occurs? Discuss at least three solutions to address the same,BT2 (Understanding),0.24201772,0.50341976,0.00619813,0.2001468,0.043974146,0.004243405,0.55
"Construct LAN (wired & wireless) architecture for your campus with the maximum possible interfaces, technologies, network elements, middleware and protocol involved in it. Discuss their characteristics and specifications.",BT2 (Understanding),0.009146877,0.8179471,0.1387289,0.016662128,0.0059219855,0.011592999,0.55
Which user communities are major stake in programming language landscape?,BT1 (Remembering),0.9711864,0.006261418,0.0030188556,0.01172065,0.0062417495,0.0015710054,0.55
What is lexical scoping? Give examples,BT1 (Remembering),0.98517704,0.00470914,0.0023856717,0.0034463631,0.002996096,0.0012856313,0.3
Define assertion. Give its syntax.,BT1 (Remembering),0.8852242,0.07334136,0.023856532,0.014992429,0.001456381,0.0011290171,0.3
Define state transformation. How it is represented mathematically?,BT1 (Remembering),0.9319093,0.042434882,0.013743074,0.010192979,0.0011500198,0.0005696329,0.3
What are the five principal ways to pass an argument to a function?,BT5 (Evaluating),0.17869186,0.07677732,0.014916626,0.05682323,0.660499,0.0122919595,0.55
Draw the structure of Run-Time memory,BT1 (Remembering),0.50346744,0.31327632,0.14483795,0.033365123,0.0026013085,0.002451952,0.55
What are some features that are lacking in the C programming language?,BT1 (Remembering),0.9788182,0.011423306,0.002641539,0.004529859,0.0017845929,0.00080253545,0.55
Which mechanism can be used to identify the type or class of an object at runtime?,BT1 (Remembering),0.6382683,0.030515572,0.14791133,0.17218222,0.008423238,0.0026993034,0.55
What is the significance of recursion in functional programming paradigm?,BT1 (Remembering),0.87185013,0.048500646,0.010462815,0.06634196,0.001963672,0.00088081404,0.3
What are the two powerful principles of prolog? Give some applications of logic programming.,BT1 (Remembering),0.98035103,0.010253205,0.002168701,0.0039546294,0.0023652473,0.0009071335,0.55
